name,co2,wfp
mayonnaise Smart Balance Omega,1.46,572.0
coriander sprigs,0.84,8280.0
shark chunks,5.19,2313.5
butter cut Pieces,8.48,5659.0
medium onion Roughly,0.22,290.0
land margarine,1.39,1324.0
fruit kind berries peaches,0.45,1979.0
beans bits,2.26,801.0
bell peppers chunks,0.65,379.0
package lemon Jell gelatin,0.34,642.0
celery garlic teaspoons onion salt,0.33,362.0
vanilla bean pudding Delight,0.43,5053.0
cream ounce soya cream,5.45,3838.0
lentils oz tin,0.52,5874.0
orange blossom water tablespoon orange liqueur,0.3,654.0
wine amount liking liquidy sauce,0.66,524.0
medium avocado avocado,0.54,1805.0
slices bacon crisp microwave,5.99,6116.0
onion Thin,0.22,290.0
durkees onions,0.22,290.0
bread dough pizza dough,0.86,667.0
bell peppers strips rest,0.65,379.0
potato Mashed,0.24,555.0
broccoli ounces,0.57,336.0
feta cheese salads,8.93,5253.0
carton fat strawberry yogurt strawberry yogurt list choice,0.61,413.0
orange omit milk,0.3,654.0
medium grain rice note,2.19,1597.0
cider cup apple juice,2.86,1140.0
ground pistachios,1.6,11363.0
garlic ounces,0.25,589.0
chestnuts Aunt Raffy Giada,1.11,2750.0
slices crusty bread slices bread,0.86,667.0
loaf breadcrumbs,0.86,667.0
slice velveeta cheese,8.93,5253.0
apple ingredient,0.25,622.0
sorbet quart lime sorbet,0.34,642.0
mandarin oranges juice juice,0.45,748.0
bourbon butter,8.48,5659.0
cheese emmental,8.93,5253.0
medium round onion,0.22,290.0
pato tomato sauce,0.45,41.0
penne tri wheel template tri,5.19,2313.5
medium zucchini inch sticks,0.81,750.5
thyme teaspoons peel,5.19,2313.5
cheddar cheese Kraft Cheddar Classic Melts,8.93,5253.0
Balance light butter spread Light Spread,8.48,5659.0
mixture tomato,0.45,41.0
salt pepper garlic nutmeg,0.25,589.0
wine vinegar Red White,0.66,524.0
rotel festival tomatoes,0.45,41.0
yukon gold potatoes pounds,0.81,575.0
rice template cooked,2.19,1597.0
slices Texas toast slices bread,0.86,667.0
wax beans inch pieces,2.26,801.0
maple butter teaspoon muffin,8.48,5659.0
piece star anise,0.84,8280.0
jar apricot preserves,0.3,1287.0
cream sugar,5.45,3838.0
marsala wine dry,0.66,524.0
pepper oil optional,0.65,379.0
jarlsberg cheese ounces cheese,8.93,5253.0
quart strawberry cut halves,0.61,413.0
apples Cox cups,0.25,622.0
quart strawberry Fresh,0.61,413.0
arugula watercress baby spinach,0.81,834.0
tender beans,2.26,801.0
butter cut pieces preparing pans,8.48,5659.0
shallots,0.25,272.0
raspberries syrup,1.18,748.0
chocolate sf,3.16,20717.0
pineapple juice bottom crock pot,2.86,1140.0
garlic heads medium cloves,0.84,61205.0
vegetables cup herbs,0.81,339.0
fruit kiwi strawberries blueberries,0.49,514.0
vanilla soymilk recipe almond amasake,1.88,11264.0
orange ice cream scoop peach,5.45,3838.0
coconut cream substitutes,5.45,3838.0
slices bakery bread denser supermarket,0.86,667.0
warm sweet potatoes,0.81,575.0
bulk chorizo sausages,5.99,6177.0
onion kind strips,0.22,290.0
use onion powder onion pieces DH,0.22,290.0
tomatoes pounds cups cups,0.45,41.0
broccoli florets inch pieces,0.57,336.0
saffron rice,2.19,1597.0
package firm tofu ½ inch cubes,2.27,1724.0
olives pits,0.64,3015.0
garlic powder taste,0.25,589.0
raspberry vinegar tablespoons wine vinegar,0.66,524.0
medium pepper cut triangles,0.65,379.0
scotch bonnet pepper pith seeds pepper heat level,0.65,379.0
package vanilla chocolate chips chocolate chips,3.16,20717.0
firm broccoli florets,0.57,336.0
beans ounce cans template,2.26,801.0
mascarpone tablespoons,5.45,5253.0
rice vinegar brands Nakano Seasoned Basil Oregano,2.19,1597.0
giardiniera cauliflower carrot pepper mix,0.24,195.0
tomato paste BBQ sauce,1.3,855.0
slices peel inch strips,5.19,2313.5
medium carrots lengthwise thirds crosswise,0.81,750.5
rice miso,2.19,1597.0
eggplants size lbs,0.19,362.0
buttermilk c plain milk yogurt milk,8.48,5659.0
feta cheese oil,8.93,5253.0
taglierini pasta dente,1.21,1508.0
salmon bones bones calcium,3.37,2193.0
potatoes halves,0.81,575.0
substitute tofu ground beef,2.27,1724.0
medium peppers strips,0.65,379.0
spice islands ground saigon cinnamon,0.84,15526.0
bittersweet chocolate baking bars,3.16,20717.0
package peanut butter chips miniature peanut butter cups,8.48,5659.0
cheese pkg,8.93,5253.0
cheddar cheese cubed cup template,8.93,5253.0
margarine teaspoon template,1.39,1324.0
apples size,0.25,622.0
squash potato,0.24,555.0
potatoes medium spuds,0.81,575.0
semisweet chocolate broken inch pieces,3.16,20717.0
potatoes Parisienne potatoes pre,0.81,575.0
apple raspberry juice cups apple juice,2.86,1140.0
carrot cut slices diagonal,0.24,195.0
apples Apples cases,0.25,622.0
stalks celery garnish,0.33,362.0
pizza sauce pasta sauce,1.21,1508.0
beans lengths cups,2.26,801.0
summer squash cut thick slices,0.33,336.0
vegetables spray,0.81,339.0
walnuts cups fine,2.06,11264.0
butterfinger candy bars pieces,8.48,5659.0
head onion,0.22,290.0
feta cheese works,8.93,5253.0
potatoes Yukons recipe,0.81,575.0
tomatoes seeds moisture,0.45,41.0
pineapple slices juice,0.25,622.0
zucchini squeeze moisture,0.81,750.5
rotini pasta cup template,1.21,1508.0
grain rice cups template,2.19,1597.0
russet potatoes ounces,0.81,575.0
peach yogurt Dannon Light Fit,0.45,1979.0
Torani orange syrup Torani sugar,0.3,654.0
pepper sauce pepper,0.65,379.0
cheddar cheese room temp Kraft Coon brand brick,8.93,5253.0
dairy cheddar cheese Daiya,8.93,5253.0
salmon flaked,3.37,2193.0
chocolate chips amount,3.16,20717.0
wholewheat hamburger buns,0.57,1639.0
chocolate milk powder,3.16,20717.0
cardamom pods seeds pods pods,0.84,34319.0
cheese fresco farmers feta,8.93,5253.0
slices bread coarsley,0.86,667.0
liqueur Chambord Baileys Irish Cream Grand Marnier Frangelico Sabra ch,5.45,3838.0
mozzarella cheese version,8.93,5253.0
figs Black Mission Calimyrna,0.32,3350.0
container onion dip,0.22,290.0
bacon crisply,5.99,6116.0
tomatoes tomatoes style,0.45,41.0
jar tomatoes sauce,0.45,41.0
Parmesan mozzarella asiago,9.59,5253.0
stalks celery hearts leaves,0.33,362.0
eggs fork splash milk,3.2,2562.0
package sugar orange gelatin,0.3,654.0
cream cheese garlic,8.93,5253.0
water strawberry raspberry orange,0.3,654.0
honey dibs date molasses,0.81,2636.5
links sausage links apple template,0.25,622.0
wine,0.87,524.0
whole tomatoes liquid,0.45,41.0
beer seltzer water,0.69,155.0
slices meal bread,0.86,667.0
blend Durkee Pepper Blend,0.65,379.0
breast halves thighs drumsticks,5.19,2202.0
gyoza dumplings,5.19,2313.5
pinto beans peppers,2.26,801.0
stock vermouth wine Calvados hand,0.66,524.0
coconut g,1.07,1971.0
package beans lima beans cook Enjoy,2.26,801.0
currant taste raisins,0.64,499.0
tomatoes ground,0.45,41.0
chorizo sausages sausage,5.99,6177.0
plain tomatoes juice,0.45,41.0
plum tomatoes roma tomatoes,0.32,2180.0
parmesan breadcrumbs,0.86,667.0
haddock g fillets pin chunks,5.19,2313.5
cubed ripe mangoes,0.31,1855.0
package cheddar cheese ounce package template,8.93,5253.0
inches ginger use peeler,0.84,1657.0
gorgonzola walnut ravioli,2.06,11264.0
broccoli pieces bunch,0.57,336.0
rye cocktail bread loaf,0.86,667.0
pieces crisp bacon,5.99,6116.0
carrots lenthwise,0.81,750.5
monterey jack Cubed Cheese brick,8.93,5253.0
sun tomatoes slivers,0.45,41.0
espresso water,0.55,960.0
chocolate graham cracker crumbs,3.16,20717.0
onions onions g,0.22,290.0
onion paste teaspoon onion powder,0.22,290.0
butternut squash lengthwise lb,8.48,5659.0
medium potatoes slices pounds,0.81,575.0
apple juice quality variety,2.86,1140.0
kidney beans beans time,2.26,801.0
hunt chunky tomato sauce,0.45,41.0
water orange flower water,0.3,654.0
inches carrots,0.81,750.5
baby zucchini ends match stick shapes julienne,0.81,750.5
serrano lime,0.34,642.0
vinegar jar jalapeno peppers,0.65,379.0
pepper seasoning powder pepper,0.65,379.0
mccormick celery salt,0.33,362.0
pasta ditalini cup pastina,1.21,1508.0
potato starch,0.24,555.0
Butterball boneless breast turkey,8.48,5659.0
head cauliflower size florettes,0.31,285.0
substitute potato flour,0.24,555.0
medium pepper inch dice,0.65,379.0
shell macaroni pasta,1.21,1508.0
cheese cut chunks,8.93,5253.0
olives stuffed,0.64,3015.0
mozzarella pan,8.2,5253.0
Campbell Cream Chicken Soup ounce cream chicken soup,5.45,3838.0
bell peppers lenghtwise pieces,0.65,379.0
cream cheese flavor creaminess,8.93,5253.0
pinch pepper,0.65,379.0
miniature peanut butter cups cut half,8.48,5659.0
container goat cheese,8.93,5253.0
garlic tablespoon,0.25,589.0
dates sweeter taste,0.81,2636.5
plum tomatoes chopped,0.32,2180.0
camembert fat works,9.59,5253.0
walnut halves cookie,2.06,11264.0
sweet potatoes batons inches,0.81,575.0
potatoes potatoes Russets potatoes,0.81,575.0
coffee creamer liquid,5.45,3838.0
finger length ginger need,0.84,1657.0
basil tsp pesto,2.72,2174.0
orange sweet potato,0.3,654.0
butter oil lard,8.48,5659.0
flour use rice flour,2.19,1597.0
butter cut tablespoon portions,8.48,5659.0
campbell Healthy Request cream mushroom soup,5.45,3838.0
beef tomatoes pieces,0.45,41.0
Burgundy wine Bordeaux,0.66,524.0
medium bell peppers medium template pieces,0.65,379.0
jalapeno pepper use pepper,0.65,379.0
celery slices inch thick,0.33,362.0
oat bran tablespoons cereal,0.67,1788.0
pretzel shape buttery,8.48,5659.0
pineapple inch rounds,0.25,622.0
onion recipe,0.22,290.0
stalk carrot,0.24,195.0
package cheese chips,8.93,5253.0
cheese ounces cheese,8.93,5253.0
Old Milwaukee beer,0.69,155.0
sodium ketchup tablespoons,1.46,534.0
Rotel Tomatoes ounce cans,0.45,41.0
tangerines seedless segments,0.34,748.0
salt pepper puree half,0.65,379.0
jalapenos ounces peppers,0.65,379.0
vitamin C powder bread,0.86,667.0
medium peppers thick slices,0.65,379.0
hair pasta ounces,1.21,1508.0
box jello sugar peach gelatin mix,0.45,1979.0
medium carrot cut bias,0.24,195.0
margarine margarine cup template,1.39,1324.0
product eggs,3.2,2562.0
zucchini cups summer squash cm cubes,0.81,750.5
meyer juice lemons lemon Aspens,0.34,642.0
hamburger brown onion,0.22,290.0
almonds cup peanuts,1.88,11264.0
baguette style French bread cut thick slices,0.86,667.0
tomatoes del monte,0.45,41.0
slivers tomato,0.45,41.0
almond paste room temperature,1.88,11264.0
meyer lemon rind,0.34,642.0
medium yellow tomatoes,0.45,41.0
box pasta salad greens,1.21,1508.0
raisins Thompson raisins,0.81,2636.5
bread round loaf ounce bread round oval loaf,0.86,667.0
butternut squash note,8.48,5659.0
oil people half applesauce,0.25,622.0
tomatoes Roma tomatoes,0.45,41.0
Kraft salad Extra Virgin Olive OIl Sun Dried Tomato,3.27,14415.0
squash template chopped,0.33,336.0
medium crookneck squash cut slices,5.99,6177.0
orange zest zest orange zest,0.3,654.0
medium zucchini medium summer squash half lengthwise chunks minute,0.81,750.5
potatoes waxy type,0.81,575.0
monin blackberry syrup,0.64,413.0
bread inch thick,0.86,667.0
eggplant cut slices pounds,0.19,362.0
manouri cheese ricotta pinch lb mizithra cheese ricotta pinch,8.93,5253.0
turkey neck pigs tails,5.99,6177.0
dates pits cut slivers,0.81,2636.5
citrus juice,0.34,457.0
szechuan peppercorns,0.65,379.0
potatoes lb medium potatoes,0.81,575.0
bell peppers directions work peppers,0.65,379.0
container cream cream recipe,5.45,3838.0
cloves liking,0.84,61205.0
pineapple reserve juice,0.25,622.0
bacon bits bacon imitation ones,5.99,6116.0
Almond Breeze non dairy beverage,1.88,11264.0
mandarin oranges slices,0.45,748.0
cream ounce template,5.45,3838.0
use olive oil,3.27,14415.0
pattypan squash squash,0.33,336.0
bell pepper orange,0.3,654.0
margarine spread country crock,1.39,1324.0
sun tomato oz,0.45,41.0
cinnamon Cinnamon variety,0.84,15526.0
mayonnaise half mayonnaise half yogurt cup template half mayonnaise half yogurt,1.46,572.0
pork,5.99,6238.0
package onion soup Lipton Recipe Secrets Onion Soup Dip mix,0.22,290.0
rice grain works,2.19,1597.0
lemoncello liqueur,0.34,642.0
carrot cut inch coins,0.24,195.0
cinnamon stick cassia,0.84,15526.0
bunches grapes medium cluster serving,0.31,608.0
apples smith apples thick lbs template,0.25,622.0
stalks celery cut chunky pieces,0.33,362.0
sausages cup template,5.99,6177.0
pepper flakes use,0.65,379.0
butter cookie Pikkuleipienperustaikina notetemplate,8.48,5659.0
mozzarella cut sticks,8.2,5253.0
cloves garlic,0.84,61205.0
sausages lenghwise,5.99,6177.0
ketchup tomatoes,1.46,534.0
watermelon size,0.61,1506.5
lobsters lb lobsters,20.25,1856.0
medium summer squash lengthwise,0.33,336.0
grape tomatoes Roma works,0.45,41.0
jar non dairy coffee creamer,5.45,3838.0
cream cheese setting microwave boiler,8.93,5253.0
bananas chunks medium ripe,0.34,748.0
pickling juice baby pickles,5.19,2313.5
vanilla wafer cookies Pepperidge Farm Chessman Cookies,0.65,379.0
packages chocolate fudge pudding,3.16,20717.0
pink lemonade concentrate crystal works,0.34,642.0
potatoes inch thick medium,0.81,575.0
pomegranate cut quarters seeds,0.32,1506.5
garden tomatoes wedges,0.45,41.0
medium cut slices zucchinis cut inch slices,0.81,750.5
grataed pecorino romano cheese,8.93,5253.0
package cheddar mozzarella,8.2,5253.0
carrots thin,0.81,750.5
garlic half,0.25,589.0
calamari bodies tentacles squid,5.8,1856.0
head garlic cloves skins,0.84,61205.0
pepper sauce sriracha,0.65,379.0
deluxe chocolate chip macadamia nut cookie dough,3.16,20717.0
salmon skin bones recipe pink,3.37,2193.0
cucumber use slices decoration,0.27,353.0
fillets fish,2.2,2313.5
tomatoes squeeze pieces DRAIN,0.45,41.0
shallots minute,0.25,272.0
pizza dough grocery store bread section,0.86,667.0
applesauce sugar,0.25,622.0
cheddar cheese use cheese,8.93,5253.0
shell pasta water,1.21,1508.0
plum roma tomatoes lengthwise,0.32,2180.0
chili peppers type,0.65,379.0
half half cream half half cream,5.45,3838.0
package cream cheese template Philadelphia,8.93,5253.0
honey dew melon ball,0.61,1506.5
anchovy fillets,0.82,2313.5
butter cut sections sticks,8.48,5659.0
celery cubes,0.33,362.0
pinch coarse ground pepper,0.65,379.0
package chocolate candy melts Dolci frutta produce dept,3.16,20717.0
orange liqueur juice orange cup juice juice orange,0.3,654.0
box betty crocker Hamburger Helper mix beef pasta Sausage Flavor oz box,1.21,1508.0
broccoli crisp tender,0.57,336.0
cream cup Carnation Evaporated Milk,5.45,3838.0
leaves lettuce sandwich,0.41,237.0
plum roma tomatoes,0.32,2180.0
mix breadcrumbs,0.86,667.0
peanut butter choice,8.48,5659.0
packages potatoes,0.81,575.0
beer beer flavor,0.69,155.0
asparagus inch slices,0.83,2150.0
beans guavar Hindi,2.26,801.0
medium pineapple cut inch pieces,0.25,622.0
firm rip fig cut inch wedges,0.32,3350.0
almond meal almonds powder,1.88,11264.0
nutella peanut butter cashew butter,8.48,5659.0
strawberry preserves tablespoons preserves,0.61,413.0
ice buttermilk,8.48,5659.0
mature vintage cheddar cheese,8.93,5253.0
cream cheese blocks,8.93,5253.0
heart neck,5.99,6177.0
raspberries raspberries garnish,1.18,748.0
cream tub style,5.45,3838.0
onion Texas Maui Sweet OSO,0.22,290.0
bread pita breads,0.86,667.0
rice Jasmine sweetness pearl rice,0.45,1979.0
breadcrumbs cup breadcrumbs,0.86,667.0
chickpeas choice cup template cold choice,0.81,850.0
rye bread slices Intro,0.86,667.0
oats cooking cups,0.67,1788.0
pesto sauce jar,2.72,2174.0
shrimp try crabmeat tuna,3.68,2313.5
medium shallots Cup,0.25,272.0
fat pepperoni,0.65,379.0
squid template,5.8,1856.0
cream cheese chives pineapple,8.93,5253.0
jalapeno peppers choice,0.65,379.0
bob wheat pastry flour,0.57,1639.0
wine template,0.66,524.0
butternut squash batata,8.48,5659.0
squash lbs,0.33,336.0
butter cold g,8.48,5659.0
carrots strips lengthwise,0.81,750.5
dash pumpkin pie spice spice choice,0.24,336.0
penne pasta substitute pasta choice,1.21,1508.0
rigatoni pasta dry,1.21,1508.0
medium potatoes peels,0.81,575.0
pasta cups sauce,1.21,1508.0
zucchini medium inch thick,0.81,750.5
Old Bay Seasoning pepper,0.65,379.0
ground coriander spice,0.84,8280.0
beans Bush brand,2.26,801.0
slice kiwi,0.49,514.0
slices onions Vidalia Walla Walla,0.22,290.0
fruit choice try apricots,0.3,1287.0
celery ribs bias,0.33,362.0
onions cup use teaspoons,0.22,290.0
sweet peppers chopped,0.65,379.0
raisins cranberries pieces fruit,0.81,2636.5
wine beef cup template,0.66,524.0
fennel slivers,0.33,362.0
tomatoes cut pieces,0.45,41.0
currants ounce template,0.64,499.0
ice cream sandwich,5.45,3838.0
lemons juice tbs,0.34,642.0
rice grain grain works,2.19,1597.0
chili pepper seed stripes,0.65,379.0
butternut squash cut chunks,8.48,5659.0
bell pepper lengthwise pieces,0.65,379.0
box raisins ounce box template,0.81,2636.5
vegetables mix corn peas carrots beans,2.26,801.0
fish cake cut size pieces,2.2,2313.5
buttermilk SACO brand,8.48,5659.0
Chocolate Chex,3.16,20717.0
onion veggies,0.22,290.0
dark kidney beans cans,2.26,801.0
lime rind curls strawberries pretzels,0.34,642.0
slices peppers section grocery store,0.65,379.0
pepper cut lengthways,0.65,379.0
hair pasta aldente,1.21,1508.0
creaminess Tbsp varies creaminess,5.45,3838.0
chocolate chips lb chocolate,3.16,20717.0
tomatoes sauce,0.45,41.0
orange pulp,0.3,654.0
ready chocolate frosting,3.16,20717.0
fillets fillets fish,2.2,2313.5
beans beans sub,2.26,801.0
soda lime soda,0.34,642.0
onion lengthwise C,0.22,290.0
tuna fillets,3.68,2313.5
carrot cut inch julienne,0.24,195.0
del monte lite peaches,0.45,1979.0
whole tomatoes juice,0.45,41.0
hellman mayonnaise,1.46,572.0
rice wash,2.19,1597.0
butter table,8.48,5659.0
berries,1.18,748.0
eggplants lengthwise slices pounds,0.19,362.0
use orange roughy grouper,0.3,654.0
mayonnaise light oil,1.46,572.0
leaf blueberry pie filling,0.78,845.0
rice Valencia grain,2.19,1597.0
onion powder template chopped,0.22,290.0
ea eggs,3.2,2562.0
wine vinegar wine vinegar potatoes,0.81,575.0
cardamoms,0.84,34319.0
heart celery,0.33,362.0
grain rice Jasmine Thai,2.19,1597.0
boiling potatoes lbs,0.81,575.0
orange bell peppers,0.3,654.0
melba toast rye bread slices,0.86,667.0
sugar coconut syrup Torani,1.07,1971.0
firm tofu dice,2.27,1724.0
fettuccine pasta template,1.21,1508.0
salt butter,8.48,5659.0
curds ricotta,5.45,2470.5
chutney mango,0.31,1855.0
chocolate dairy optional,3.16,20717.0
broccoli pieces ounces broccoli,0.57,336.0
cream cup water,5.45,3838.0
ground hazelnuts ounces,1.11,11264.0
corn crumbs cup bread crumbs,0.86,667.0
peanut butter additives,8.48,5659.0
mm cinnamon sticks dalchini,0.84,15526.0
gold potatoes approx cups,0.81,575.0
pomegranate seeds cran raisins,0.32,1506.5
mango juice cup cranberry mango juice Ocean Spray Cran Mango Mango Mango,2.86,1019.0
cream OK,5.45,3838.0
mountain pepper,0.65,379.0
chocolate g milk chocolate truffles,3.16,20717.0
stalk celery cut inch chunks,0.33,362.0
rice favorite,2.19,1597.0
blend ounces cheddar cheese,8.93,5253.0
bread breads,0.86,667.0
peppercorn peppercorns,0.65,379.0
tart apples smiths,0.25,622.0
apple pie spice,0.25,622.0
butter crackers,8.48,5659.0
strawberries cup peach,0.45,1979.0
cooked spinach,0.81,834.0
medium peppers medium template cut strips,0.65,379.0
box hair pasta thirds,1.21,1508.0
pieces celery,0.33,362.0
yellow rice,2.19,1597.0
pomegranate peel seeds,0.32,1506.5
wine worcestershire sauce,0.66,524.0
piece cinnamon stick,0.84,15526.0
eggplant crosswise thick pieces,0.19,362.0
tomato soup fat sodium,0.45,41.0
pieces chocolate,3.16,20717.0
asparagus pieces coarsley template,0.83,2150.0
seed ground ground sunflower seeds,0.88,3366.0
oil oil tablespoons walnut oil,2.06,11264.0
punnets raspberries,1.18,748.0
sugar cane sugar turbinado,0.62,1724.0
ginger ale Coke,0.84,1657.0
bacon bits apprx slices crisp,5.99,6116.0
onion scraps etc Include skins,0.22,290.0
sodium tomato puree,1.03,713.0
beans chickpeas lentils ounces beans beans chickpeas lentils,2.26,801.0
bacon cup turkey,5.99,6116.0
package sunrise tofu,2.27,1724.0
bread machine yeast teaspoons rise yeast,0.86,667.0
pinch nutmeg fresh,0.84,34319.0
beer Heineken,0.69,155.0
packet onion soup mix Simply Organic French Onion Soup Dip mix,0.22,290.0
pinches cheese,8.93,5253.0
peppers capsicums,0.65,379.0
coconut fat,1.07,1971.0
MINUTE White Rice cook rice,2.19,1597.0
coffee ice cream pint template,5.45,3838.0
sheet pepperidge farm puff pastry sheet package,0.65,379.0
bacon lb template cut pieces,5.99,6116.0
pumpkin pie spice Nutmeg Ginger cloves,0.84,61205.0
pints grape tomatoes cups,0.45,41.0
cornbread crumbs Pepperidge Farm,0.86,667.0
potato chunks Desiree,0.24,555.0
container whip frozen use cream,5.45,3838.0
zucchini longways mm slices,0.81,750.5
virgin coconut oil butter,2.11,4490.0
package beans cut,2.26,801.0
raspberry vinegar cup template,0.64,413.0
lime chunks skin,0.34,642.0
ragu world style pasta sauce,1.21,1508.0
turnips cut size cubes,0.25,195.0
orange oil tablespoon orange zest,0.3,654.0
onion cut fine,0.22,290.0
pepper addition recipe amount,0.65,379.0
raspberry berries choice,0.64,413.0
oz g winter squash oz,0.33,336.0
tuna oil ounces,3.68,2313.5
plumped raisins,0.32,2180.0
oil cup margarine,1.39,1324.0
pepper chili jalapeno,0.65,379.0
carrot matchstick size strips,0.24,195.0
Progresso style bread crumbs,0.86,667.0
peanut oil Fragrant teaspoons oil,2.11,7529.0
package wheat crackers,0.57,1639.0
goat cheese crumbling Montrachet,8.93,5253.0
mayonnaise use quality mayo Best Foods Hellmann,1.46,572.0
rice toast,2.19,1597.0
trout heads tails,4.2,2188.0
butter use shortening cup template use,8.48,5659.0
cheese neufchatel fat,8.93,5253.0
rotini pasta pasta,1.21,1508.0
peas ounce peas,0.81,850.0
kalamata olives cup template,0.64,3015.0
cream plain yoghurt,5.45,3838.0
cow herb garlic cheese,8.93,5253.0
medium carrots matchsticks inches,0.81,750.5
cheese shaker stuff,8.93,5253.0
wheat tortillas inch,0.57,1639.0
greens variety leaves baby spinach rocket watercress romaine iceberg etc,0.81,834.0
slices bread Brioche rolls,0.86,667.0
apples Macintosh Granny Smith,0.25,622.0
stalk celery cut pieces,0.33,362.0
filberts hazelnuts,1.11,11264.0
salt cloves garlic garlic,0.84,61205.0
buttermilk buttermilk substitute site,8.48,5659.0
medium apples Smith Apples,0.25,622.0
turkey neck giblets,5.99,6177.0
medium onion Course chop,0.22,290.0
pepper flakes amount suit heat level,0.65,379.0
pepper grind,0.65,379.0
pepper course kind zest,0.65,379.0
loaf Pepperidge Farm bread,0.86,667.0
seedless blackberry fruit spread,0.64,413.0
pepperincini bell peppers juice,0.65,379.0
cream taste color,5.45,3838.0
onions pieces inch,0.22,290.0
buttermilk ml fl oz,8.48,5659.0
sugar apple butter ml,8.48,5659.0
boxes potatoes,0.81,575.0
fillet Cod sea bass,3.08,2782.0
fettuccine pastas,1.21,1508.0
medium apples,0.25,622.0
potatoes juice,0.81,575.0
package mint chocolate chips,3.16,20717.0
spinach bowl water,0.81,834.0
toll house NESTLÉ TOLL HOUSE Butterscotch Flavored Morsels,8.48,5659.0
firm ripe pears lb,0.45,1979.0
semisweet chocolate Scharffen Berger chocolate,3.16,20717.0
tomatoes Hunts chili,0.45,41.0
package crockers cream chives potatoes,0.81,575.0
breads diameter,0.86,667.0
fettuccine pasta ounces,1.21,1508.0
cipolline onions template,0.22,290.0
powder clove garlic,0.84,61205.0
cream coconut coconut milk,0.54,2030.0
barley pearl barley pot work fine,0.48,1423.0
Italian breadcrumbs,0.86,667.0
pork shoulder drumstick,5.19,2202.0
yams Bruce,0.27,343.0
margarine Brand Canoleo brand fat oils,1.39,1324.0
avocados ones,0.54,1805.0
potatoes cup instant thing,0.81,575.0
apple Diced,0.25,622.0
cherry Kirschwasser,0.46,1506.5
mayonnaise Hellmans recipe,1.46,572.0
rind rind lemon,0.34,642.0
packages shells cheese package directions,8.93,5253.0
medium potatoes cm thick,0.81,575.0
chili peppers slits lengthwise,0.65,379.0
quality wine,0.66,524.0
slices country bread slices inch thick,0.86,667.0
instant onion tablespoon onion powder,0.22,290.0
gingerroot teaspoons template,0.84,1657.0
potatoes kg,0.81,575.0
beet sugar sugar,0.94,865.0
package firm tofu cut inch pieces,2.27,1724.0
lemon grass lemongrass use,0.34,642.0
use half butter half margarine,1.39,1324.0
jalapenos pepper,0.65,379.0
medium ripe papaya chunks,0.32,460.0
coconut GRATED SHREDDED,1.07,1971.0
room temperature lemons juice,0.34,642.0
stalk celery crunchiness,0.33,362.0
package grape tomatoes,0.45,41.0
inch peel ginger,0.84,1657.0
plain breadcrumbs panko,0.86,667.0
package refrigerator buttermilk biscuits,8.48,5659.0
package hash brown potatoes cubed kind,0.81,575.0
eggplants Aubergines strips,0.19,362.0
banana peppers jalapenos,0.34,748.0
panko breadcrumbs Progresso bread crumbs,0.86,667.0
apples Jonathon McIntosh,0.25,622.0
cheddar onions cups onions,0.22,290.0
parsley lingonberry sauce,5.19,2313.5
butter pasta,1.21,1508.0
tomatoes Del Monte,0.45,41.0
butter tablespoons pork fat,8.48,5659.0
rolls bread choice,0.86,667.0
fennel bulb tops core,0.33,362.0
jack cheese ounces cheese,8.93,5253.0
orange slices cranberries,0.3,654.0
amount almonds,1.88,11264.0
medium potato medium dice,0.24,555.0
butter cut pieces turkey,8.48,5659.0
gingersnaps,0.84,1657.0
cauliflower florets head,0.31,285.0
tomatoes juice sugar,0.45,41.0
bell peppers inch pieces pepper,0.65,379.0
tomato paste sauce,1.3,855.0
strawberry half,0.61,413.0
medium body beer,0.69,155.0
pieces spicy mango pickle,0.31,1855.0
pita bread bag gluten,0.86,667.0
ghee tbsp butter tbsp oil,8.48,5659.0
breadcrumb bread crumbs,0.86,667.0
colby monterey jack cheese oz,8.93,5253.0
rum rum mango,0.31,1855.0
walnut pieces amount,2.06,11264.0
olives half stuffed pimientos,0.64,3015.0
cup peppers,0.65,379.0
slices jalapeno peppers,0.65,379.0
flour cup almonds ground fine food processer crust coarser,1.88,11264.0
sugar wine vinegar omit sugar,0.66,524.0
jalapeno olives pimento stuffed olives,0.64,3015.0
bunch asparagus cut thirds,0.83,2150.0
fillets haddock,5.19,2313.5
boneless skinless sardines water,0.9,2313.5
gingerroot cut matchsticks,0.84,1657.0
matchstick carrots half oz bag,0.81,750.5
potato potato salad,0.24,555.0
spears spears,0.45,1979.0
ground cardamom addition,0.84,34319.0
pumpkin jack size,0.24,336.0
ground cinnamon teaspoon template,0.84,15526.0
granny smith apples cut slices,0.25,622.0
slices cheese oz,8.93,5253.0
potatoes golf ball size,0.81,575.0
medium bosc pears,0.45,1979.0
use peanut butter point value,8.48,5659.0
broccoli template bunches broccoli,0.57,336.0
Veg ounce vegetables,0.81,339.0
coconut coconut p,1.07,1971.0
cobb loaf vienna bread,0.86,667.0
rice water,2.19,1597.0
slice lemon peel,0.34,642.0
plain bread crumbs,0.86,667.0
carrot int chunks,0.24,195.0
French onions,0.22,290.0
mild peppers juice,0.65,379.0
bell peppers color peppers,0.65,379.0
bramley apple,0.25,622.0
onion tops part,0.22,290.0
cheddar cheese brand Cabot Vermont Smoked Cheddar,8.93,5253.0
cakes,2.14,1640.0
